Image Name,Number of Clusters,Bounding Boxes,Boxes with text
www.nmch.nl,7,"[(140, 170, 188, 94), (148, 268, 90, 21), (241, 268, 21, 10), (323, 303, 23, 11), (131, 303, 190, 25), (464, 387, 59, 22), (134, 338, 292, 83), (748, 426, 147, 18), (131, 426, 280, 201), (131, 628, 174, 127)]","[{'box_coordinates': (140, 170, 188, 94), 'text': ''}, {'box_coordinates': (148, 268, 90, 21), 'text': ''}, {'box_coordinates': (241, 268, 21, 10), 'text': ''}, {'box_coordinates': (323, 303, 23, 11), 'text': ''}, {'box_coordinates': (131, 303, 190, 25), 'text': ''}, {'box_coordinates': (464, 387, 59, 22), 'text': ''}, {'box_coordinates': (134, 338, 292, 83), 'text': ''}, {'box_coordinates': (748, 426, 147, 18), 'text': ''}, {'box_coordinates': (131, 426, 280, 201), 'text': ''}, {'box_coordinates': (131, 628, 174, 127), 'text': ''}]"
business3.plala.or.jp,7,"[(178, 184, 95, 47), (191, 249, 83, 33), (275, 250, 10, 15), (583, 307, 64, 16), (398, 419, 6, 88), (779, 423, 114, 38), (308, 211, 477, 354), (405, 559, 277, 43), (683, 569, 23, 22), (539, 603, 60, 12), (308, 629, 548, 176)]","[{'box_coordinates': (178, 184, 95, 47), 'text': ''}, {'box_coordinates': (191, 249, 83, 33), 'text': ''}, {'box_coordinates': (275, 250, 10, 15), 'text': ''}, {'box_coordinates': (583, 307, 64, 16), 'text': ''}, {'box_coordinates': (398, 419, 6, 88), 'text': ''}, {'box_coordinates': (779, 423, 114, 38), 'text': ''}, {'box_coordinates': (308, 211, 477, 354), 'text': ''}, {'box_coordinates': (405, 559, 277, 43), 'text': ''}, {'box_coordinates': (683, 569, 23, 22), 'text': ''}, {'box_coordinates': (539, 603, 60, 12), 'text': ''}, {'box_coordinates': (308, 629, 548, 176), 'text': '= —\n\norl eccanra g enero tyes cone neabworgiter oryvne etree\nsquare\n\noo Sete ant ervirner ore wa rman ke WME AK eM Ee E\n\nie —————————\n\n \n\n \n\nseiure emcee ge,\n(ee Recover receipes eer er ee\nsche ec hse BA\n\n \n\n \n\n \n\nFan trae = = Te\n+ "" Feuceantinecrmcnnoneare\n\nBeet Sere:'}]"
www.ambiente.select.de,3,"[(434, 119, 367, 49), (494, 186, 92, 46), (642, 198, 160, 35), (219, 119, 274, 334), (561, 262, 77, 35), (480, 262, 79, 33), (348, 784, 107, 32), (350, 834, 105, 31)]","[{'box_coordinates': (434, 119, 367, 49), 'text': ''}, {'box_coordinates': (494, 186, 92, 46), 'text': ''}, {'box_coordinates': (642, 198, 160, 35), 'text': ''}, {'box_coordinates': (219, 119, 274, 334), 'text': ''}, {'box_coordinates': (561, 262, 77, 35), 'text': ''}, {'box_coordinates': (480, 262, 79, 33), 'text': ''}, {'box_coordinates': (348, 784, 107, 32), 'text': ''}, {'box_coordinates': (350, 834, 105, 31), 'text': ''}]"
www.europa.auf.einen.blick.de,4,"[(729, 119, 169, 65), (296, 119, 171, 64), (291, 120, 6, 68), (146, 149, 14, 21), (468, 176, 259, 1), (886, 186, 12, 1), (819, 186, 3, 1), (127, 189, 771, 688)]","[{'box_coordinates': (729, 119, 169, 65), 'text': ''}, {'box_coordinates': (296, 119, 171, 64), 'text': ''}, {'box_coordinates': (291, 120, 6, 68), 'text': ''}, {'box_coordinates': (146, 149, 14, 21), 'text': ''}, {'box_coordinates': (468, 176, 259, 1), 'text': ''}, {'box_coordinates': (886, 186, 12, 1), 'text': ''}, {'box_coordinates': (819, 186, 3, 1), 'text': ''}, {'box_coordinates': (127, 189, 771, 688), 'text': '(gece! Tiss)\nEpa auf enn Bik'}]"
www.powerh2o.net,2,"[(127, 119, 771, 771)]","[{'box_coordinates': (127, 119, 771, 771), 'text': '1 brngiog new-age concep ad technology ond\nort\n\nOTAIT) APPLiANces\n\nwater portation systems, water fitaton stems revere\nwater purter/watr fies, sale prevention\n\nsmoss(R0) water purer) water systems, la viet\npredicts, presse boosting ystems wate sltenag products\n\ndomestic water puraton systems\npurirs, commercial RO wate pres,\n\n‘ ner advanced RO syste\nsing sytem: domes'}]"
www.iledesirade.fr,3,"[(133, 122, 686, 84), (834, 177, 61, 22), (150, 204, 219, 25), (131, 232, 767, 658)]","[{'box_coordinates': (133, 122, 686, 84), 'text': ''}, {'box_coordinates': (834, 177, 61, 22), 'text': ''}, {'box_coordinates': (150, 204, 219, 25), 'text': ''}, {'box_coordinates': (131, 232, 767, 658), 'text': ''}]"
www.oxfordms.net,1,"[(134, 665, 420, 136)]","[{'box_coordinates': (134, 665, 420, 136), 'text': ''}]"
groups.yahoo.com,8,"[(133, 217, 150, 73), (722, 332, 96, 56), (825, 336, 65, 32), (131, 304, 346, 181), (723, 399, 80, 49), (722, 457, 168, 132), (717, 599, 1, 18), (131, 487, 586, 192), (191, 707, 444, 146), (133, 859, 161, 19), (294, 867, 22, 11)]","[{'box_coordinates': (133, 217, 150, 73), 'text': '= Bene Home\n\nNesarcy\n\n \n\n[ater'}, {'box_coordinates': (722, 332, 96, 56), 'text': ''}, {'box_coordinates': (825, 336, 65, 32), 'text': ''}, {'box_coordinates': (131, 304, 346, 181), 'text': ''}, {'box_coordinates': (723, 399, 80, 49), 'text': ''}, {'box_coordinates': (722, 457, 168, 132), 'text': ''}, {'box_coordinates': (717, 599, 1, 18), 'text': ''}, {'box_coordinates': (131, 487, 586, 192), 'text': ''}, {'box_coordinates': (191, 707, 444, 146), 'text': 'Aeatanntettl\nat aati\nInAs\n\nnt ans\n\nsotae Hf'}, {'box_coordinates': (133, 859, 161, 19), 'text': ''}, {'box_coordinates': (294, 867, 22, 11), 'text': ''}]"
www.dub.uu.nl,16,"[(247, 137, 351, 123), (639, 235, 92, 43), (250, 269, 165, 82), (745, 298, 32, 64), (621, 302, 54, 71), (428, 270, 170, 91), (610, 409, 170, 42), (245, 364, 170, 119), (609, 477, 169, 65), (429, 444, 168, 63), (248, 485, 167, 81), (429, 508, 166, 107), (607, 559, 148, 67), (248, 569, 169, 42), (756, 591, 11, 23), (245, 615, 171, 73), (426, 627, 172, 68), (621, 650, 97, 55), (248, 690, 168, 76), (429, 697, 167, 99), (133, 857, 760, 32)]","[{'box_coordinates': (247, 137, 351, 123), 'text': ''}, {'box_coordinates': (639, 235, 92, 43), 'text': ''}, {'box_coordinates': (250, 269, 165, 82), 'text': ''}, {'box_coordinates': (745, 298, 32, 64), 'text': ''}, {'box_coordinates': (621, 302, 54, 71), 'text': ''}, {'box_coordinates': (428, 270, 170, 91), 'text': ''}, {'box_coordinates': (610, 409, 170, 42), 'text': ''}, {'box_coordinates': (245, 364, 170, 119), 'text': ''}, {'box_coordinates': (609, 477, 169, 65), 'text': ''}, {'box_coordinates': (429, 444, 168, 63), 'text': ''}, {'box_coordinates': (248, 485, 167, 81), 'text': ''}, {'box_coordinates': (429, 508, 166, 107), 'text': ''}, {'box_coordinates': (607, 559, 148, 67), 'text': ''}, {'box_coordinates': (248, 569, 169, 42), 'text': ''}, {'box_coordinates': (756, 591, 11, 23), 'text': ''}, {'box_coordinates': (245, 615, 171, 73), 'text': ''}, {'box_coordinates': (426, 627, 172, 68), 'text': ''}, {'box_coordinates': (621, 650, 97, 55), 'text': ''}, {'box_coordinates': (248, 690, 168, 76), 'text': ''}, {'box_coordinates': (429, 697, 167, 99), 'text': ''}, {'box_coordinates': (133, 857, 760, 32), 'text': ''}]"
www.ilse.nl,1,"[(449, 169, 28, 15), (663, 201, 37, 16), (608, 201, 36, 16), (258, 322, 68, 38), (347, 322, 72, 39), (607, 322, 88, 39), (696, 322, 72, 39), (433, 323, 67, 37), (523, 323, 70, 38), (262, 362, 33, 123), (438, 362, 32, 22), (612, 362, 32, 122), (438, 413, 32, 71), (432, 496, 71, 39), (520, 496, 73, 39), (258, 497, 68, 38), (348, 497, 71, 38), (607, 497, 73, 38), (681, 497, 87, 38), (263, 536, 32, 122), (437, 536, 33, 122), (612, 536, 148, 122), (258, 671, 68, 38), (348, 671, 71, 38), (262, 710, 33, 117), (258, 855, 510, 13)]","[{'box_coordinates': (449, 169, 28, 15), 'text': ''}, {'box_coordinates': (663, 201, 37, 16), 'text': ''}, {'box_coordinates': (608, 201, 36, 16), 'text': ''}, {'box_coordinates': (258, 322, 68, 38), 'text': ''}, {'box_coordinates': (347, 322, 72, 39), 'text': ''}, {'box_coordinates': (607, 322, 88, 39), 'text': ''}, {'box_coordinates': (696, 322, 72, 39), 'text': ''}, {'box_coordinates': (433, 323, 67, 37), 'text': ''}, {'box_coordinates': (523, 323, 70, 38), 'text': ''}, {'box_coordinates': (262, 362, 33, 123), 'text': ''}, {'box_coordinates': (438, 362, 32, 22), 'text': ''}, {'box_coordinates': (612, 362, 32, 122), 'text': ''}, {'box_coordinates': (438, 413, 32, 71), 'text': ''}, {'box_coordinates': (432, 496, 71, 39), 'text': ''}, {'box_coordinates': (520, 496, 73, 39), 'text': ''}, {'box_coordinates': (258, 497, 68, 38), 'text': ''}, {'box_coordinates': (348, 497, 71, 38), 'text': ''}, {'box_coordinates': (607, 497, 73, 38), 'text': ''}, {'box_coordinates': (681, 497, 87, 38), 'text': ''}, {'box_coordinates': (263, 536, 32, 122), 'text': ''}, {'box_coordinates': (437, 536, 33, 122), 'text': 'Be'}, {'box_coordinates': (612, 536, 148, 122), 'text': ''}, {'box_coordinates': (258, 671, 68, 38), 'text': ''}, {'box_coordinates': (348, 671, 71, 38), 'text': ''}, {'box_coordinates': (262, 710, 33, 117), 'text': ''}, {'box_coordinates': (258, 855, 510, 13), 'text': ''}]"
www.prestiscene.com,2,"[(361, 126, 423, 88), (445, 481, 317, 129), (501, 645, 55, 18), (476, 670, 75, 57)]","[{'box_coordinates': (361, 126, 423, 88), 'text': ''}, {'box_coordinates': (445, 481, 317, 129), 'text': '‘aucune place ne peut donc Ate accordAGe au hasrd.\n\nreste ne est un rROseau de prestatares exerigont lw profession ave\n\nindie iueur dans ensemble du nord ovest dea France.\n\nsy ware depatamer de epton et decane\nnos presatons ‘soirhoes\n\nen mans pow'}, {'box_coordinates': (501, 645, 55, 18), 'text': ''}, {'box_coordinates': (476, 670, 75, 57), 'text': ''}]"
www.kenneljenager.dk,0,"[(369, 129, 412, 45), (243, 133, 102, 33), (534, 455, 27, 15), (484, 455, 27, 14), (676, 554, 102, 56)]","[{'box_coordinates': (369, 129, 412, 45), 'text': ''}, {'box_coordinates': (243, 133, 102, 33), 'text': ''}, {'box_coordinates': (534, 455, 27, 15), 'text': ''}, {'box_coordinates': (484, 455, 27, 14), 'text': ''}, {'box_coordinates': (676, 554, 102, 56), 'text': ''}]"
www.montair.it,4,"[(127, 119, 772, 771)]","[{'box_coordinates': (127, 119, 772, 771), 'text': 'ery\neee\nee\nCae\n\need\nraedsoment\n\nSe lakond\nCecoaete}\n\nPear ne\n\nretell Me a yes \'*""\neee\na Cu\n\nGLNOUSTRAL\nHOLDING promi\nanche ae SUAU\nBologna\n\nuna 202\nYon\n\n \n\n \n\n \n\n \n\n  \n\nVAWAXPIOONE 3\n\n \n\nKaa iN CL NDUSTRAL (NO (UTA - IVA DISST0 ge\n\n \n\nINGSpA-ALRGHTBRE'}]"
www.honda.dk,0,"[(500, 234, 11, 12), (466, 381, 87, 58), (290, 381, 62, 11), (392, 381, 60, 11), (565, 381, 88, 213), (264, 397, 289, 197)]","[{'box_coordinates': (500, 234, 11, 12), 'text': ''}, {'box_coordinates': (466, 381, 87, 58), 'text': ''}, {'box_coordinates': (290, 381, 62, 11), 'text': ''}, {'box_coordinates': (392, 381, 60, 11), 'text': ''}, {'box_coordinates': (565, 381, 88, 213), 'text': ''}, {'box_coordinates': (264, 397, 289, 197), 'text': ''}]"
www.cometlog.com,1,"[(304, 287, 419, 77), (298, 874, 431, 16)]","[{'box_coordinates': (304, 287, 419, 77), 'text': ''}, {'box_coordinates': (298, 874, 431, 16), 'text': '“At Copyright 2004 COD'}]"
www.intercarto.com,13,"[(141, 169, 85, 13), (318, 170, 23, 11), (226, 171, 18, 10), (131, 186, 180, 52), (154, 241, 118, 33), (130, 278, 177, 58), (130, 352, 164, 67), (263, 416, 32, 2), (130, 474, 190, 11), (720, 571, 119, 31), (131, 487, 760, 162), (137, 652, 485, 41), (867, 653, 23, 22), (153, 698, 537, 75), (708, 698, 184, 83)]","[{'box_coordinates': (141, 169, 85, 13), 'text': ''}, {'box_coordinates': (318, 170, 23, 11), 'text': ''}, {'box_coordinates': (226, 171, 18, 10), 'text': ''}, {'box_coordinates': (131, 186, 180, 52), 'text': ''}, {'box_coordinates': (154, 241, 118, 33), 'text': ''}, {'box_coordinates': (130, 278, 177, 58), 'text': ''}, {'box_coordinates': (130, 352, 164, 67), 'text': ''}, {'box_coordinates': (263, 416, 32, 2), 'text': ''}, {'box_coordinates': (130, 474, 190, 11), 'text': ''}, {'box_coordinates': (720, 571, 119, 31), 'text': ''}, {'box_coordinates': (131, 487, 760, 162), 'text': ''}, {'box_coordinates': (137, 652, 485, 41), 'text': ''}, {'box_coordinates': (867, 653, 23, 22), 'text': ''}, {'box_coordinates': (153, 698, 537, 75), 'text': ''}, {'box_coordinates': (708, 698, 184, 83), 'text': ''}]"
www.cadixtour.com,0,"[(439, 172, 35, 53), (294, 205, 86, 133), (295, 479, 85, 18), (445, 305, 274, 352)]","[{'box_coordinates': (439, 172, 35, 53), 'text': ''}, {'box_coordinates': (294, 205, 86, 133), 'text': 'wlnicio a\n\nfaa'}, {'box_coordinates': (295, 479, 85, 18), 'text': 'tros:'}, {'box_coordinates': (445, 305, 274, 352), 'text': 'Cera Tard\nfee eA do Late'}]"
www.sayisalgrafik.com.tr,7,"[(230, 126, 566, 642), (224, 774, 579, 116)]","[{'box_coordinates': (230, 126, 566, 642), 'text': 'Bes lineata\n\nPeery'}, {'box_coordinates': (224, 774, 579, 116), 'text': 'Typ is1\n\nooreeen\n\n \n   \n\n  \n\nPert EL\nee TUN, RCN'}]"
www.hostelmotango.com,9,"[(127, 119, 771, 22), (301, 165, 45, 63), (493, 223, 236, 56), (621, 281, 142, 40), (537, 283, 82, 30), (298, 165, 488, 473), (311, 651, 448, 157), (358, 825, 309, 28)]","[{'box_coordinates': (127, 119, 771, 22), 'text': ''}, {'box_coordinates': (301, 165, 45, 63), 'text': ''}, {'box_coordinates': (493, 223, 236, 56), 'text': ''}, {'box_coordinates': (621, 281, 142, 40), 'text': ''}, {'box_coordinates': (537, 283, 82, 30), 'text': ''}, {'box_coordinates': (298, 165, 488, 473), 'text': ''}, {'box_coordinates': (311, 651, 448, 157), 'text': 'ai\n\nBrindamos un sevicio de calidad, siestas\nestudiandoy busca tulugar..\n\n~ Consult los precios de nuestro -@>\nsector para estudiantes -'}, {'box_coordinates': (358, 825, 309, 28), 'text': ''}]"
www.comune.quaregna.bi.it,1,"[(127, 119, 771, 771)]","[{'box_coordinates': (127, 119, 771, 771), 'text': 'erm\nsai)\n\n \n\n \n\n \n\n \n\nM1 Comune ai Quaregna vi da il benvenuto!\n\n \n\n \n\n   \n\n   \n\n     \n   \n\n \n\n \n\nGonfalone e Descrizione Araldica'}]"
www.zarzailuminacion.com,1,"[(127, 119, 766, 761)]","[{'box_coordinates': (127, 119, 766, 761), 'text': 'Nenct lCan 635636 19\n\nPig ico\n\n \n\nead\n\nPods\n\neres)\nAe\n\n \n\n Pojecs\n\n \n\nCakdogo\n\nContec'}]"
www.screechmedia.com,0,"[(133, 129, 760, 752)]","[{'box_coordinates': (133, 129, 760, 752), 'text': '‘earch ‘Australian Business Database on CD-ROM\n— ntabase on CD-ROM that makes you the\n\nLatest 2012 version just released.\n\nExpand your Asraian mare wth an Asian\nies Database\n\nDae re in io la oe wd\ncraton\n\nig aes, phone ante; ni\nee\n\nasthe Asia ot Bata\n\nho restctions, no extra fees youre in oat >\nWiC"" that sini. rar your dab wth nds\nurea\n\nbeter nae\n\nloeb Anton Bais Data\n\nOther Screechmedia Services\n\nfuses at they ace yrs\n\n \n\noe See ey'}]"
www.snobtop.com,5,"[(360, 375, 106, 11), (130, 119, 753, 481), (333, 589, 76, 5), (815, 642, 66, 12), (127, 565, 675, 266), (460, 829, 105, 29), (131, 855, 82, 21)]","[{'box_coordinates': (360, 375, 106, 11), 'text': ''}, {'box_coordinates': (130, 119, 753, 481), 'text': ''}, {'box_coordinates': (333, 589, 76, 5), 'text': ''}, {'box_coordinates': (815, 642, 66, 12), 'text': ''}, {'box_coordinates': (127, 565, 675, 266), 'text': ''}, {'box_coordinates': (460, 829, 105, 29), 'text': ''}, {'box_coordinates': (131, 855, 82, 21), 'text': ''}]"
www.broederij.rombouts.nl,0,"[(133, 131, 760, 712), (127, 877, 771, 13)]","[{'box_coordinates': (133, 131, 760, 712), 'text': 'ci Broeder| Rombouts wey\n\nWelkontop de website van Broedert} Rombouts\n\n \n\njude eaten'}, {'box_coordinates': (127, 877, 771, 13), 'text': ''}]"
www.greencove.fr,1,"[(519, 266, 139, 105), (673, 273, 107, 94), (373, 273, 132, 98), (252, 402, 99, 37), (376, 514, 135, 40), (737, 531, 33, 24), (577, 574, 28, 21), (424, 578, 38, 16), (242, 667, 115, 89), (378, 630, 276, 79), (239, 830, 549, 55)]","[{'box_coordinates': (519, 266, 139, 105), 'text': 'Sean\neae\n\nperry\netree'}, {'box_coordinates': (673, 273, 107, 94), 'text': ''}, {'box_coordinates': (373, 273, 132, 98), 'text': ''}, {'box_coordinates': (252, 402, 99, 37), 'text': ''}, {'box_coordinates': (376, 514, 135, 40), 'text': ''}, {'box_coordinates': (737, 531, 33, 24), 'text': ''}, {'box_coordinates': (577, 574, 28, 21), 'text': ''}, {'box_coordinates': (424, 578, 38, 16), 'text': ''}, {'box_coordinates': (242, 667, 115, 89), 'text': ''}, {'box_coordinates': (378, 630, 276, 79), 'text': ''}, {'box_coordinates': (239, 830, 549, 55), 'text': ''}]"
www.belizeretirementguide.com,0,"[(291, 122, 443, 153), (719, 234, 15, 41), (526, 379, 86, 42)]","[{'box_coordinates': (291, 122, 443, 153), 'text': ''}, {'box_coordinates': (719, 234, 15, 41), 'text': ''}, {'box_coordinates': (526, 379, 86, 42), 'text': ''}]"
www.diamondfarm.com,0,"[(381, 146, 265, 348), (382, 548, 259, 84), (435, 752, 156, 77)]","[{'box_coordinates': (381, 146, 265, 348), 'text': ''}, {'box_coordinates': (382, 548, 259, 84), 'text': 'Cyfeste\nyey Please visit our other web ste\nat esterve'}, {'box_coordinates': (435, 752, 156, 77), 'text': ''}]"
